City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
326,sungailiat,-1.85,106.1333,29.73,67,100,3.55,ID,1683612724
327,geraldton,-28.7667,114.6,26.23,57,40,5.66,AU,1683612209
328,yanchep,-31.55,115.6833,26.07,61,8,6.29,AU,1683612724
329,colonia,50.9333,6.95,16.57,86,20,4.12,DE,1683612006
330,bonthe,7.5264,-12.505,24.18,90,100,3.06,SL,1683612202
331,zarghun shahr,32.8473,68.4457,17.47,16,0,1.65,AF,1683612725
332,saint-philippe,-21.3585,55.7679,27.77,78,29,4.6,RE,1683612725
333,kachug,53.9606,105.8817,22.89,19,29,2.77,RU,1683612725
334,khandyga,62.6667,135.6,3.94,35,59,0.81,RU,1683612726
335,yarmouth,41.7057,-70.2286,11.65,64,41,0.89,US,1683612726
336,arica,-18.475,-70.3042,19.13,72,100,2.57,CL,1683612390
337,manay,7.215,126.5397,30.22,70,81,3.79,PH,1683612727
338,pisco,-13.7,-76.2167,20.03,88,100,4.12,PE,1683612271
339,katsuura,35.1333,140.3,20.01,57,53,8.46,JP,1683612106
340,santa elena de uairen,4.6167,-61.1333,19.64,93,99,0.98,VE,1683612727
341,yung shue wan,22.2333,114.1167,27.54,74,87,1.34,HK,1683612727
342,iron river,46.0927,-88.6423,6.42,96,95,0.62,US,1683612728
343,mani,4.8172,-72.2886,23.94,94,99,1.18,CO,1683612728
344,vilyuchinsk,52.9306,158.4028,3.15,91,100,10.81,RU,1683612195
345,san patricio,28.017,-97.5169,26.02,94,59,4.12,US,1683612211
346,bugana,7.9992,7.5836,26.6,73,89,1.48,NG,1683612726
347,semur-en-auxois,47.4833,4.3333,12.85,89,99,2.06,FR,1683612729
348,cururupu,-1.8283,-44.8683,23.39,96,73,0.59,BR,1683612181
349,salinas,36.6777,-121.6555,12.45,85,0,0.45,US,1683612725
350,ankang,32.68,109.0172,13.63,90,100,0.98,CN,1683612729
351,kone,-21.0595,164.8658,23.56,71,83,2.65,NC,1683612254
352,beloyarskiy,63.7119,66.6722,3.84,75,68,4.88,RU,1683612189
353,tondano,1.3038,124.9112,26.05,80,87,1.54,ID,1683612730
354,tsiombe,-25.3,45.4833,24.82,67,79,3.31,MG,1683612730
355,panorama,40.5878,23.0315,15.29,92,75,2.68,GR,1683612730
356,codrington,-38.2667,141.9667,14.65,70,90,4.97,AU,1683612216
357,copala,16.65,-98.9833,27.51,73,1,2.65,MX,1683612731
358,erdenet,49.0333,104.0833,15.59,26,100,3.13,MN,1683612731
359,kristiansund,63.1115,7.732,11.36,71,75,3.09,NO,1683612297
360,saynshand,44.8824,110.1163,21.96,10,100,5.46,MN,1683612731
361,ulety,51.3572,112.4849,20.3,17,2,0.22,RU,1683612731
362,belawan,3.7755,98.6832,33.16,65,100,1.87,ID,1683612732
